Abstract from facility WITHOUT CoC accreditation/All Sites/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
7,6-<7 mo,29,3,2,89.29%,75.89%,99.77%,98.47%,89.50%,77.08%,5.85%,7.09%,5.86%,7.20%
8,7-<8 mo,24,0,2,100.00%,75.89%,99.78%,98.25%,100.0000%*,77.0758%#,0.00%,7.09%,0.00%,7.2033%#
9,8-<9 mo,22,2,1,90.70%,68.83%,99.78%,98.04%,90.90%,70.21%,6.26%,8.00%,6.28%,8.16%
10,9-<10 mo,19,0,3,100.00%,68.83%,99.82%,97.86%,100.0000%*,70.2117%#,0.00%,8.00%,0.00%,8.1593%#
11,10-<11 mo,16,0,0,100.00%,68.83%,99.79%,97.66%,100.0000%*,70.2117%#,0.00%,8.00%,0.00%,8.1593%#
12,11-<12 mo,16,0,0,100.00%,68.83%,99.79%,97.45%,100.0000%*,70.2117%#,0.00%,8.00%,0.00%,8.1593%#
13,12-<13 mo,16,0,0,100.00%,68.83%,99.77%,97.23%,100.0000%*,70.2117%#,0.00%,8.00%,0.00%,8.1593%#
14,13-<14 mo,16,0,1,100.00%,68.83%,99.77%,97.01%,100.0000%*,70.2117%#,0.00%,8.00%,0.00%,8.1593%#
15,14-<15 mo,15,0,0,100.00%,68.83%,99.76%,96.78%,100.0000%*,70.2117%#,0.00%,8.00%,0.00%,8.1593%#
16,15-<16 mo,15,0,0,100.00%,68.83%,99.76%,96.55%,100.0000%*,70.2117%#,0.00%,8.00%,0.00%,8.1593%#
17,16-<17 mo,15,0,2,100.00%,68.83%,99.76%,96.32%,100.0000%*,70.2117%#,0.00%,8.00%,0.00%,8.1593%#
18,17-<18 mo,13,1,0,92.31%,63.54%,99.75%,96.07%,92.54%,66.14%,7.39%,8.97%,7.41%,9.33%
19,18-<19 mo,12,0,2,100.00%,63.54%,99.74%,95.82%,100.0000%*,66.1362%#,0.00%,8.97%,0.00%,9.3331%#
20,19-<20 mo,10,1,2,88.89%,56.48%,99.77%,95.60%,89.10%,59.08%,10.48%,10.38%,10.50%,10.86%
21,20-<21 mo,7,0,3,100.00%,56.48%,99.71%,95.32%,100.0000%*,59.0785%#,0.00%,10.38%,0.00%,10.8621%#
22,21-<22 mo,4,0,3,100.00%,56.48%,99.60%,94.94%,100.0000%*,59.0785%#,0.00%,10.38%,0.00%,10.8621%#
23,22-<23 mo,1,0,1,+,+,99.96%,94.90%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NON-ANALYTIC abstract from facility WITH CoC accredi.../Peritoneum, Omentum and Mesentery/All Included Ages (System Generated)",,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,51,1,3,97.98%,97.98%,99.78%,99.78%,98.20%,98.20%,2.00%,2.00%,2.00%,2.00%
2,1-<2 mo,47,2,3,95.60%,93.67%,99.79%,99.57%,95.81%,94.08%,3.04%,3.54%,3.05%,3.55%
3,2-<3 mo,42,3,2,92.68%,86.82%,99.78%,99.35%,92.89%,87.39%,4.07%,5.03%,4.08%,5.06%
4,3-<4 mo,37,3,3,91.55%,79.48%,99.79%,99.14%,91.75%,80.18%,4.67%,6.13%,4.68%,6.19%
5,4-<5 mo,31,2,2,93.33%,74.18%,99.79%,98.92%,93.53%,74.99%,4.55%,6.77%,4.56%,6.85%
6,5-<6 mo,27,1,1,96.23%,71.38%,99.77%,98.70%,96.45%,72.33%,3.70%,7.07%,3.71%,7.16%
7,6-<7 mo,25,2,2,91.67%,65.44%,99.86%,98.56%,91.80%,66.39%,5.64%,7.63%,5.65%,7.74%
8,7-<8 mo,21,1,0,95.24%,62.32%,99.86%,98.42%,95.37%,63.32%,4.65%,7.88%,4.65%,8.00%
9,8-<9 mo,20,1,0,95.00%,59.20%,99.88%,98.31%,95.11%,60.22%,4.87%,8.08%,4.88%,8.22%
10,9-<10 mo,19,1,2,94.44%,55.91%,99.89%,98.20%,94.55%,56.94%,5.40%,8.27%,5.41%,8.42%
11,10-<11 mo,16,0,1,100.00%,55.91%,99.88%,98.08%,100.0000%*,56.9413%#,0.00%,8.27%,0.00%,8.4231%#
12,11-<12 mo,15,1,1,93.10%,52.06%,99.87%,97.95%,93.22%,53.15%,6.65%,8.55%,6.66%,8.73%
13,12-<13 mo,13,1,2,91.67%,47.72%,99.87%,97.82%,91.79%,48.78%,7.98%,8.87%,7.99%,9.07%
14,13-<14 mo,10,0,3,100.00%,47.72%,99.84%,97.66%,100.0000%*,48.7840%#,0.00%,8.87%,0.00%,9.0699%#
15,14-<15 mo,7,0,1,100.00%,47.72%,99.90%,97.56%,100.0000%*,48.7840%#,0.00%,8.87%,0.00%,9.0699%#
16,15-<16 mo,6,0,1,100.00%,47.72%,99.89%,97.45%,100.0000%*,48.7840%#,0.00%,8.87%,0.00%,9.0699%#
17,16-<17 mo,5,0,0,100.00%,47.72%,99.89%,97.34%,100.0000%*,48.7840%#,0.00%,8.87%,0.00%,9.0699%#
18,17-<18 mo,5,1,0,80.00%,38.18%,99.89%,97.23%,80.09%,39.26%,17.89%,11.10%,17.91%,11.42%
19,18-<19 mo,4,0,1,100.00%,38.18%,99.91%,97.14%,100.0000%*,39.2644%#,0.00%,11.10%,0.00%,11.4182%#
20,19-<20 mo,3,0,0,100.00%,38.18%,99.90%,97.04%,100.0000%*,39.2644%#,0.00%,11.10%,0.00%,11.4182%#
21,20-<21 mo,3,0,1,100.00%,38.18%,99.90%,96.95%,100.0000%*,39.2644%#,0.00%,11.10%,0.00%,11.4182%#
22,21-<22 mo,2,0,0,100.00%,38.18%,99.87%,96.82%,100.0000%*,39.2644%#,0.00%,11.10%,0.00%,11.4182%#
23,22-<23 mo,2,0,2,+,+,99.87%,96.69%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 12.4744 intervals; Relative = 12.7213 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NON-ANALYTIC abstract from facility WITH CoC accreditation/Other Digestive Organs/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,152,15,7,89.90%,89.90%,99.74%,99.74%,90.13%,90.13%,2.47%,2.47%,2.48%,2.48%
2,1-<2 mo,130,20,10,84.00%,75.52%,99.77%,99.51%,84.20%,75.89%,3.28%,3.61%,3.29%,3.62%
3,2-<3 mo,100,12,1,87.94%,66.41%,99.77%,99.28%,88.14%,66.89%,3.26%,4.02%,3.27%,4.05%
4,3-<4 mo,87,10,3,88.30%,58.64%,99.76%,99.05%,88.51%,59.20%,3.48%,4.23%,3.48%,4.27%
5,4-<5 mo,74,6,1,91.84%,53.85%,99.76%,98.81%,92.06%,54.50%,3.19%,4.31%,3.20%,4.37%
6,5-<6 mo,67,5,4,92.31%,49.71%,99.77%,98.58%,92.52%,50.43%,3.31%,4.36%,3.31%,4.42%
7,6-<7 mo,58,4,2,92.98%,46.22%,99.78%,98.36%,93.19%,46.99%,3.38%,4.39%,3.39%,4.46%
8,7-<8 mo,52,2,5,95.96%,44.36%,99.78%,98.14%,96.17%,45.19%,2.80%,4.41%,2.80%,4.49%
9,8-<9 mo,45,4,0,91.11%,40.41%,99.78%,97.92%,91.32%,41.27%,4.24%,4.43%,4.25%,4.53%
10,9-<10 mo,41,2,4,94.87%,38.34%,99.77%,97.70%,95.09%,39.24%,3.53%,4.44%,3.54%,4.55%
11,10-<11 mo,35,1,3,97.01%,37.20%,99.81%,97.52%,97.20%,38.14%,2.94%,4.46%,2.95%,4.57%
12,11-<12 mo,31,0,3,100.00%,37.20%,99.84%,97.36%,100.0000%*,38.1431%#,0.00%,4.46%,0.00%,4.5687%#
13,12-<13 mo,28,0,4,100.00%,37.20%,99.82%,97.19%,100.0000%*,38.1431%#,0.00%,4.46%,0.00%,4.5687%#
14,13-<14 mo,24,2,1,91.49%,34.03%,99.82%,97.02%,91.65%,35.08%,5.76%,4.60%,5.77%,4.75%
15,14-<15 mo,21,0,3,100.00%,34.03%,99.85%,96.87%,100.0000%*,35.0759%#,0.00%,4.60%,0.00%,4.7456%#
16,15-<16 mo,18,0,1,100.00%,34.03%,99.84%,96.71%,100.0000%*,35.0759%#,0.00%,4.60%,0.00%,4.7456%#
17,16-<17 mo,17,0,3,100.00%,34.03%,99.83%,96.54%,100.0000%*,35.0759%#,0.00%,4.60%,0.00%,4.7456%#
18,17-<18 mo,14,0,0,100.00%,34.03%,99.82%,96.36%,100.0000%*,35.0759%#,0.00%,4.60%,0.00%,4.7456%#
19,18-<19 mo,14,1,3,92.00%,31.31%,99.82%,96.19%,92.17%,32.55%,7.67%,4.98%,7.69%,5.17%
20,19-<20 mo,10,0,4,100.00%,31.31%,99.87%,96.06%,100.0000%*,32.5490%#,0.00%,4.98%,0.00%,5.1733%#
21,20-<21 mo,6,0,1,100.00%,31.31%,99.90%,95.97%,100.0000%*,32.5490%#,0.00%,4.98%,0.00%,5.1733%#
22,21-<22 mo,5,0,2,100.00%,31.31%,99.92%,95.89%,100.0000%*,32.5490%#,0.00%,4.98%,0.00%,5.1733%#
23,22-<23 mo,3,0,1,100.00%,31.31%,99.98%,95.87%,100.0000%*,32.5490%#,0.00%,4.98%,0.00%,5.1733%#
24,23-<24 mo,2,0,2,+,+,99.98%,95.85%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 5.93028 intervals; Relative = 6.12482 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NON-ANALYTIC abstract from facility WITH CoC accreditation/Respiratory System/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"7,831",463,316,93.97%,93.97%,99.74%,99.74%,94.21%,94.21%,0.27%,0.27%,0.27%,0.27%
2,1-<2 mo,"7,052",585,262,91.55%,86.02%,99.74%,99.49%,91.78%,86.47%,0.33%,0.40%,0.34%,0.40%
3,2-<3 mo,"6,205",413,267,93.20%,80.17%,99.75%,99.24%,93.43%,80.79%,0.32%,0.47%,0.32%,0.47%
4,3-<4 mo,"5,525",353,249,93.46%,74.93%,99.76%,99.00%,93.69%,75.69%,0.34%,0.51%,0.34%,0.52%
5,4-<5 mo,"4,923",241,232,94.99%,71.17%,99.76%,98.76%,95.22%,72.07%,0.31%,0.54%,0.32%,0.55%
6,5-<6 mo,"4,450",223,257,94.84%,67.50%,99.76%,98.53%,95.06%,68.51%,0.34%,0.57%,0.34%,0.57%
7,6-<7 mo,"3,970",209,182,94.61%,63.86%,99.77%,98.30%,94.83%,64.97%,0.36%,0.59%,0.36%,0.60%
8,7-<8 mo,"3,579",155,221,95.53%,61.01%,99.77%,98.07%,95.75%,62.21%,0.35%,0.61%,0.35%,0.62%
9,8-<9 mo,"3,203",158,160,94.94%,57.92%,99.77%,97.84%,95.16%,59.20%,0.39%,0.62%,0.39%,0.64%
10,9-<10 mo,"2,885",144,181,94.85%,54.94%,99.78%,97.63%,95.06%,56.28%,0.42%,0.64%,0.42%,0.65%
11,10-<11 mo,"2,560",110,171,95.55%,52.50%,99.78%,97.41%,95.77%,53.90%,0.41%,0.65%,0.42%,0.67%
12,11-<12 mo,"2,279",107,167,95.13%,49.94%,99.78%,97.19%,95.34%,51.38%,0.46%,0.66%,0.46%,0.68%
13,12-<13 mo,"2,005",70,136,96.39%,48.13%,99.76%,96.95%,96.62%,49.65%,0.42%,0.67%,0.43%,0.70%
14,13-<14 mo,"1,799",73,148,95.77%,46.10%,99.76%,96.72%,96.00%,47.66%,0.48%,0.69%,0.49%,0.71%
15,14-<15 mo,"1,578",57,157,96.20%,44.34%,99.76%,96.49%,96.43%,45.96%,0.49%,0.70%,0.50%,0.72%
16,15-<16 mo,"1,364",44,138,96.60%,42.84%,99.76%,96.26%,96.83%,44.50%,0.50%,0.71%,0.50%,0.74%
17,16-<17 mo,"1,182",45,150,95.94%,41.10%,99.77%,96.04%,96.16%,42.79%,0.59%,0.73%,0.59%,0.76%
18,17-<18 mo,987,25,149,97.26%,39.97%,99.77%,95.82%,97.48%,41.71%,0.54%,0.74%,0.54%,0.77%
19,18-<19 mo,813,36,116,95.23%,38.06%,99.78%,95.60%,95.45%,39.82%,0.78%,0.77%,0.78%,0.81%
20,19-<20 mo,661,22,117,96.35%,36.67%,99.77%,95.39%,96.57%,38.45%,0.76%,0.80%,0.77%,0.84%
21,20-<21 mo,522,10,157,97.75%,35.85%,99.78%,95.17%,97.97%,37.67%,0.70%,0.82%,0.71%,0.86%
22,21-<22 mo,355,7,104,97.69%,35.02%,99.76%,94.95%,97.92%,36.88%,0.86%,0.86%,0.87%,0.91%
23,22-<23 mo,244,2,119,98.92%,34.64%,99.75%,94.71%,99.16%,36.58%,0.76%,0.89%,0.76%,0.94%
24,23-<24 mo,123,1,122,+,+,99.76%,94.49%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 11.976 intervals; Relative = 12.797 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"NON-ANALYTIC abstract from facility WITH CoC accredi.../Nose, Nasal Cavity and Middle Ear/All Included Ages (System Generated)",,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,66,2,5,96.85%,96.85%,99.74%,99.74%,97.11%,97.11%,2.19%,2.19%,2.20%,2.20%
2,1-<2 mo,59,1,5,98.23%,95.14%,99.77%,99.50%,98.46%,95.61%,1.75%,2.74%,1.76%,2.76%
3,2-<3 mo,53,4,2,92.31%,87.82%,99.77%,99.28%,92.52%,88.46%,3.70%,4.33%,3.70%,4.36%
4,3-<4 mo,47,3,2,93.48%,82.09%,99.80%,99.08%,93.67%,82.85%,3.64%,5.16%,3.65%,5.21%
5,4-<5 mo,42,0,2,100.00%,82.09%,99.79%,98.87%,100.0000%*,82.8532%#,0.00%,5.16%,0.00%,5.2074%#
6,5-<6 mo,40,1,4,97.37%,79.93%,99.79%,98.66%,97.58%,81.01%,2.60%,5.46%,2.60%,5.53%
7,6-<7 mo,35,2,1,94.20%,75.30%,99.80%,98.47%,94.39%,76.47%,3.98%,6.05%,3.99%,6.14%
8,7-<8 mo,32,1,2,96.77%,72.87%,99.79%,98.27%,96.98%,74.15%,3.17%,6.32%,3.18%,6.43%
9,8-<9 mo,29,1,1,96.49%,70.31%,99.79%,98.06%,96.69%,71.70%,3.45%,6.59%,3.45%,6.72%
10,9-<10 mo,27,0,1,100.00%,70.31%,99.79%,97.86%,100.0000%*,71.7017%#,0.00%,6.59%,0.00%,6.7249%#
11,10-<11 mo,26,0,1,100.00%,70.31%,99.78%,97.64%,100.0000%*,71.7017%#,0.00%,6.59%,0.00%,6.7249%#
12,11-<12 mo,25,0,1,100.00%,70.31%,99.78%,97.42%,100.0000%*,71.7017%#,0.00%,6.59%,0.00%,6.7249%#
13,12-<13 mo,24,1,2,95.65%,67.25%,99.75%,97.18%,95.90%,69.21%,4.25%,6.98%,4.26%,7.18%
14,13-<14 mo,21,1,6,94.44%,63.52%,99.78%,96.96%,94.66%,65.51%,5.40%,7.53%,5.41%,7.76%
15,14-<15 mo,14,0,0,100.00%,63.52%,99.78%,96.75%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
16,15-<16 mo,14,0,3,100.00%,63.52%,99.78%,96.53%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
17,16-<17 mo,11,0,1,100.00%,63.52%,99.74%,96.28%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
18,17-<18 mo,10,0,2,100.00%,63.52%,99.72%,96.01%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
19,18-<19 mo,8,0,2,100.00%,63.52%,99.67%,95.70%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
20,19-<20 mo,6,0,0,100.00%,63.52%,99.69%,95.40%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
21,20-<21 mo,6,0,4,100.00%,63.52%,99.69%,95.10%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
22,21-<22 mo,2,0,0,100.00%,63.52%,99.46%,94.59%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
23,22-<23 mo,2,0,0,100.00%,63.52%,99.46%,94.08%,100.0000%*,65.5089%#,0.00%,7.53%,0.00%,7.7624%#
24,23-<24 mo,2,0,2,+,+,99.46%,93.57%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NON-ANALYTIC abstract from facility WITH CoC accreditation/Larynx/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,373,8,14,97.81%,97.81%,99.77%,99.77%,98.04%,98.04%,0.76%,0.76%,0.77%,0.77%
2,1-<2 mo,351,8,14,97.67%,95.54%,99.77%,99.54%,97.90%,95.98%,0.81%,1.09%,0.81%,1.10%
3,2-<3 mo,329,2,17,99.38%,94.94%,99.77%,99.31%,99.61%,95.60%,0.44%,1.16%,0.44%,1.17%
4,3-<4 mo,310,11,21,96.33%,91.46%,99.77%,99.08%,96.55%,92.31%,1.09%,1.52%,1.09%,1.54%
5,4-<5 mo,278,7,16,97.41%,89.09%,99.77%,98.85%,97.63%,90.12%,0.97%,1.73%,0.97%,1.75%
6,5-<6 mo,255,4,19,98.37%,87.63%,99.78%,98.63%,98.59%,88.85%,0.81%,1.84%,0.81%,1.87%
7,6-<7 mo,232,5,9,97.80%,85.71%,99.78%,98.42%,98.02%,87.09%,0.97%,2.00%,0.97%,2.03%
8,7-<8 mo,218,3,14,98.58%,84.49%,99.79%,98.21%,98.79%,86.03%,0.82%,2.09%,0.82%,2.13%
9,8-<9 mo,201,6,9,96.95%,81.91%,99.79%,98.01%,97.15%,83.57%,1.23%,2.27%,1.23%,2.32%
10,9-<10 mo,186,6,11,96.68%,79.19%,99.80%,97.81%,96.87%,80.96%,1.33%,2.45%,1.34%,2.51%
11,10-<11 mo,169,2,6,98.80%,78.23%,99.79%,97.61%,99.00%,80.15%,0.85%,2.52%,0.85%,2.58%
12,11-<12 mo,161,3,15,98.05%,76.70%,99.79%,97.40%,98.26%,78.75%,1.12%,2.62%,1.12%,2.69%
13,12-<13 mo,143,4,12,97.08%,74.46%,99.76%,97.16%,97.31%,76.64%,1.44%,2.77%,1.44%,2.85%
14,13-<14 mo,127,3,10,97.54%,72.63%,99.78%,96.95%,97.76%,74.92%,1.40%,2.90%,1.41%,2.99%
15,14-<15 mo,114,3,18,97.14%,70.56%,99.77%,96.72%,97.37%,72.95%,1.63%,3.05%,1.63%,3.16%
16,15-<16 mo,93,2,9,97.74%,68.96%,99.76%,96.50%,97.97%,71.47%,1.58%,3.18%,1.58%,3.30%
17,16-<17 mo,82,1,10,98.70%,68.07%,99.75%,96.26%,98.95%,70.71%,1.29%,3.27%,1.29%,3.39%
18,17-<18 mo,71,1,12,98.46%,67.02%,99.74%,96.01%,98.72%,69.80%,1.53%,3.38%,1.53%,3.52%
19,18-<19 mo,58,0,14,100.00%,67.02%,99.78%,95.80%,100.0000%*,69.8049%#,0.00%,3.38%,0.00%,3.5203%#
20,19-<20 mo,44,1,9,97.47%,65.32%,99.76%,95.58%,97.70%,68.35%,2.50%,3.70%,2.51%,3.87%
21,20-<21 mo,34,0,11,100.00%,65.32%,99.74%,95.33%,100.0000%*,68.3466%#,0.00%,3.70%,0.00%,3.8668%#
22,21-<22 mo,23,0,6,100.00%,65.32%,99.70%,95.04%,100.0000%*,68.3466%#,0.00%,3.70%,0.00%,3.8668%#
23,22-<23 mo,17,0,10,100.00%,65.32%,99.70%,94.76%,100.0000%*,68.3466%#,0.00%,3.70%,0.00%,3.8668%#
24,23-<24 mo,7,0,7,+,+,99.78%,94.55%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NON-ANALYTIC abstract from facility WITH CoC accreditation/Lung and Bronchus/All Included Ages (System Generated),,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"7,366",451,295,93.75%,93.75%,99.74%,99.74%,94.00%,94.00%,0.28%,0.28%,0.29%,0.29%
2,1-<2 mo,"6,620",574,242,91.17%,85.47%,99.74%,99.48%,91.40%,85.92%,0.35%,0.42%,0.35%,0.42%
3,2-<3 mo,"5,804",407,246,92.84%,79.35%,99.75%,99.23%,93.07%,79.96%,0.34%,0.49%,0.34%,0.49%
4,3-<4 mo,"5,151",338,226,93.29%,74.03%,99.75%,98.99%,93.52%,74.78%,0.35%,0.53%,0.35%,0.54%
5,4-<5 mo,"4,587",234,213,94.78%,70.16%,99.76%,98.75%,95.01%,71.05%,0.33%,0.56%,0.33%,0.57%
6,5-<6 mo,"4,140",217,234,94.61%,66.37%,99.76%,98.52%,94.83%,67.37%,0.36%,0.59%,0.36%,0.60%
7,6-<7 mo,"3,689",202,171,94.39%,62.65%,99.76%,98.28%,94.62%,63.75%,0.38%,0.61%,0.38%,0.62%
8,7-<8 mo,"3,316",151,203,95.30%,59.71%,99.77%,98.05%,95.53%,60.90%,0.37%,0.63%,0.37%,0.64%
9,8-<9 mo,"2,962",151,150,94.77%,56.59%,99.77%,97.83%,94.99%,57.84%,0.41%,0.64%,0.42%,0.66%
10,9-<10 mo,"2,661",138,168,94.64%,53.56%,99.78%,97.61%,94.86%,54.87%,0.44%,0.66%,0.44%,0.68%
11,10-<11 mo,"2,355",108,163,95.25%,51.01%,99.77%,97.39%,95.47%,52.38%,0.45%,0.67%,0.45%,0.69%
12,11-<12 mo,"2,084",104,151,94.82%,48.37%,99.78%,97.17%,95.04%,49.78%,0.49%,0.68%,0.50%,0.70%
13,12-<13 mo,"1,829",65,120,96.33%,46.59%,99.76%,96.93%,96.56%,48.07%,0.45%,0.69%,0.45%,0.72%
14,13-<14 mo,"1,644",69,130,95.63%,44.56%,99.76%,96.70%,95.86%,46.08%,0.51%,0.71%,0.52%,0.73%
15,14-<15 mo,"1,445",53,139,96.15%,42.84%,99.76%,96.46%,96.38%,44.41%,0.52%,0.72%,0.52%,0.74%
16,15-<16 mo,"1,253",41,125,96.56%,41.37%,99.76%,96.24%,96.78%,42.98%,0.53%,0.73%,0.53%,0.76%
17,16-<17 mo,"1,087",44,139,95.68%,39.58%,99.77%,96.01%,95.90%,41.22%,0.64%,0.75%,0.64%,0.78%
18,17-<18 mo,904,24,135,97.13%,38.44%,99.78%,95.80%,97.35%,40.13%,0.58%,0.76%,0.58%,0.79%
19,18-<19 mo,745,36,100,94.82%,36.45%,99.78%,95.58%,95.03%,38.13%,0.84%,0.79%,0.84%,0.83%
20,19-<20 mo,609,21,108,96.22%,35.07%,99.77%,95.37%,96.43%,36.77%,0.81%,0.81%,0.81%,0.85%
21,20-<21 mo,480,10,141,97.56%,34.21%,99.78%,95.16%,97.78%,35.96%,0.76%,0.84%,0.76%,0.88%
22,21-<22 mo,329,7,97,97.50%,33.36%,99.77%,94.93%,97.73%,35.14%,0.93%,0.88%,0.93%,0.92%
23,22-<23 mo,225,2,109,98.83%,32.97%,99.76%,94.70%,99.07%,34.81%,0.82%,0.91%,0.83%,0.96%
24,23-<24 mo,114,1,113,+,+,99.77%,94.48%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed = 11.3835 intervals; Relative = 11.9158 intervals.,,,,,,,,,,,,,
